packageId,dateIssued,granuleClass,title
CREC-2023-01-17,2023-01-17,SENATE,"Recess Until Friday, January 20, 2023, At 1 P.M."
CREC-2023-01-17,2023-01-17,SENATE,Appointment Of Acting President Pro Tempore
CREC-2023-01-17,2023-01-17,SENATE,Senate
CREC-2023-01-17,2023-01-17,SENATE,Congressional Record
CREC-2023-01-17,2023-01-17,HOUSE,"Petitions, Etc."
CREC-2023-01-17,2023-01-17,HOUSE,Additional Sponsors
CREC-2023-01-17,2023-01-17,HOUSE,Constitutional Authority And Single Subject Statements
CREC-2023-01-17,2023-01-17,HOUSE,Public Bills And Resolutions
CREC-2023-01-17,2023-01-17,HOUSE,"Executive Communications, Etc."
CREC-2023-01-17,2023-01-17,HOUSE,Adjournment
CREC-2023-01-17,2023-01-17,HOUSE,Pledge Of Allegiance
CREC-2023-01-17,2023-01-17,HOUSE,The Journal
CREC-2023-01-17,2023-01-17,HOUSE,Prayer
CREC-2023-01-17,2023-01-17,HOUSE,Designation Of The Speaker Pro Tempore
CREC-2023-01-17,2023-01-17,HOUSE,House Of Representatives
CREC-2023-01-17,2023-01-17,HOUSE,Congressional Record
CREC-2023-01-17,2023-01-17,EXTENSIONS,Recognizing The Second Street Dairy Queen On Being Named Number One Store In The Nation
CREC-2023-01-17,2023-01-17,EXTENSIONS,Introduction Of The Securities And Exchange Commission Real Estate Leasing Authority Revocation Act
CREC-2023-01-17,2023-01-17,EXTENSIONS,Hometown Hero--Tom Landis
CREC-2023-01-17,2023-01-17,EXTENSIONS,"Honoring The Heroism Of Captain E. Royce Williams, Usn (Ret.) Of Escondido"
CREC-2023-01-17,2023-01-17,EXTENSIONS,Recognizing The Life Of Dr. Daniel Holsenbeck
CREC-2023-01-17,2023-01-17,EXTENSIONS,Honoring Steve Foshee On His Retirement From Tombigbee Electric Cooperative
CREC-2023-01-17,2023-01-17,EXTENSIONS,Hometown Hero--Nicole Maucere Jackson
CREC-2023-01-17,2023-01-17,EXTENSIONS,Recognizing Self-Help Enterprises
CREC-2023-01-17,2023-01-17,EXTENSIONS,Honoring Donald Overcash
CREC-2023-01-17,2023-01-17,EXTENSIONS,Honoring The Retirement Of Senator Jimmy Holley
CREC-2023-01-17,2023-01-17,EXTENSIONS,Hometown Hero--Anna Salton Eisen
CREC-2023-01-17,2023-01-17,EXTENSIONS,Honoring Gloria Oliveros
